city,year,population
Población de Hecho: Alquería de la Condesa/Alquería de la Comtessa (L'),1981,1697
Población de Hecho: Alquería de la Condesa/Alquería de la Comtessa (L'),1970,1601
Población de Hecho: Alquería de la Condesa/Alquería de la Comtessa (L'),1960,1529
Población de Hecho: Alquería de la Condesa/Alquería de la Comtessa (L'),1950,1554
Población de Hecho: Alquería de la Condesa/Alquería de la Comtessa (L'),1940,1642
Población de Hecho: Alquería de la Condesa/Alquería de la Comtessa (L'),1930,1598
Población de Hecho: Alquería de la Condesa/Alquería de la Comtessa (L'),1920,1600
Población de Hecho: Alquería de la Condesa/Alquería de la Comtessa (L'),1910,1472
Población de Hecho: Alquería de la Condesa/Alquería de la Comtessa (L'),1900,1352
Población de Hecho: Alzira,1991,40055
Población de Hecho: Alzira,1981,37446
Población de Hecho: Alzira,1970,32876
Población de Hecho: Alzira,1960,26669
Población de Hecho: Alzira,1950,24935
Población de Hecho: Alzira,1940,24518
Población de Hecho: Alzira,1930,21232
Población de Hecho: Alzira,1920,20839
Población de Hecho: Alzira,1910,22657
Población de Hecho: Alzira,1900,20572
Población de Hecho: Andilla,1991,184
Población de Hecho: Andilla,1981,167
Población de Hecho: Andilla,1970,348
Población de Hecho: Andilla,1960,728
Población de Hecho: Andilla,1950,952
Población de Hecho: Andilla,1940,875
Población de Hecho: Andilla,1930,1129
Población de Hecho: Andilla,1920,1308
Población de Hecho: Andilla,1910,1457
Población de Hecho: Andilla,1900,1439
Población de Hecho: Anna,1991,2664
Población de Hecho: Anna,1981,2548
Población de Hecho: Anna,1970,2426
Población de Hecho: Anna,1960,2546
Población de Hecho: Anna,1950,2634
Población de Hecho: Anna,1940,2472
Población de Hecho: Anna,1930,2227
Población de Hecho: Anna,1920,2288
Población de Hecho: Anna,1910,2230
Población de Hecho: Anna,1900,2111
Población de Hecho: Antella,1991,1589
Población de Hecho: Antella,1981,1632
Población de Hecho: Antella,1970,1797
Población de Hecho: Antella,1960,2175
Población de Hecho: Antella,1950,1864
Población de Hecho: Antella,1940,1898
Población de Hecho: Antella,1930,1809
Población de Hecho: Antella,1920,1724
Población de Hecho: Antella,1910,1543
Población de Hecho: Antella,1900,1421
Población de Hecho: Aras de Alpuente,1991,407
Población de Hecho: Aras de Alpuente,1981,536
Población de Hecho: Aras de Alpuente,1970,752
Población de Hecho: Aras de Alpuente,1960,1163
Población de Hecho: Aras de Alpuente,1950,1363
Población de Hecho: Aras de Alpuente,1940,1377
Población de Hecho: Aras de Alpuente,1930,1231
Población de Hecho: Aras de Alpuente,1920,1291
Población de Hecho: Aras de Alpuente,1910,1337
Población de Hecho: Aras de Alpuente,1900,1257
Población de Hecho: Adzaneta de Albaida,1991,1231
Población de Hecho: Adzaneta de Albaida,1981,1355
Población de Hecho: Adzaneta de Albaida,1970,1164
Población de Hecho: Adzaneta de Albaida,1960,1157
Población de Hecho: Adzaneta de Albaida,1950,1209
Población de Hecho: Adzaneta de Albaida,1940,1219
Población de Hecho: Adzaneta de Albaida,1930,1257
Población de Hecho: Adzaneta de Albaida,1920,998
Población de Hecho: Adzaneta de Albaida,1910,990
Población de Hecho: Adzaneta de Albaida,1900,993
Población de Hecho: Ayora,1991,5402
Población de Hecho: Ayora,1981,6083
Población de Hecho: Ayora,1970,5691
Población de Hecho: Ayora,1960,6412
Población de Hecho: Ayora,1950,6870
Población de Hecho: Ayora,1940,6634
Población de Hecho: Ayora,1930,6552
Población de Hecho: Ayora,1920,6638
Población de Hecho: Ayora,1910,6460
Población de Hecho: Ayora,1900,4980
Población de Hecho: Barx,1991,996
Población de Hecho: Barx,1981,967
Población de Hecho: Barx,1970,880
Población de Hecho: Barx,1960,990
Población de Hecho: Barx,1950,976
Población de Hecho: Barx,1940,969
Población de Hecho: Barx,1930,838
Población de Hecho: Barx,1920,728
Población de Hecho: Barx,1910,646
Población de Hecho: Barx,1900,489
Población de Hecho: Barxeta,1991,1593
Población de Hecho: Barxeta,1981,1513
Población de Hecho: Barxeta,1970,1446
Población de Hecho: Barxeta,1960,1507
Población de Hecho: Barxeta,1950,1508
Población de Hecho: Barxeta,1940,1373
Población de Hecho: Barxeta,1930,1500
Población de Hecho: Barxeta,1920,1272
Población de Hecho: Barxeta,1910,1224
Población de Hecho: Barxeta,1900,1121
Población de Hecho: Bèlgida,1991,663
Población de Hecho: Bèlgida,1981,681
Población de Hecho: Bèlgida,1970,737
Población de Hecho: Bèlgida,1960,772
Población de Hecho: Bèlgida,1950,818
Población de Hecho: Bèlgida,1940,779
Población de Hecho: Bèlgida,1930,839
Población de Hecho: Bèlgida,1920,968
Población de Hecho: Bèlgida,1910,953
Población de Hecho: Bèlgida,1900,1053
Población de Hecho: Bellreguard,1991,3666
Población de Hecho: Bellreguard,1981,3740
Población de Hecho: Bellreguard,1970,3545
Población de Hecho: Bellreguard,1960,3259
Población de Hecho: Bellreguard,1950,3128
Población de Hecho: Bellreguard,1940,2931
Población de Hecho: Bellreguard,1930,2880
Población de Hecho: Bellreguard,1920,2251
Población de Hecho: Bellreguard,1910,2484
Población de Hecho: Bellreguard,1900,2476
Población de Hecho: Bellús,1991,413
Población de Hecho: Bellús,1981,407
Población de Hecho: Bellús,1970,421
Población de Hecho: Bellús,1960,422
Población de Hecho: Bellús,1950,385
Población de Hecho: Bellús,1940,359
Población de Hecho: Bellús,1930,377
Población de Hecho: Bellús,1920,368
Población de Hecho: Bellús,1910,350
Población de Hecho: Bellús,1900,325
Población de Hecho: Benagéber,1991,109
Población de Hecho: Benagéber,1981,135
Población de Hecho: Benagéber,1970,426
Población de Hecho: Benagéber,1960,517
Población de Hecho: Benagéber,1950,1401
Población de Hecho: Benagéber,1940,746
Población de Hecho: Benagéber,1930,564
Población de Hecho: Benagéber,1920,685
Población de Hecho: Benagéber,1910,656
Población de Hecho: Benagéber,1900,636
Población de Hecho: Benaguasil,1991,8744
Población de Hecho: Benaguasil,1981,8534
Población de Hecho: Benaguasil,1970,8170
Población de Hecho: Benaguasil,1960,7690
