Municipios	Periodo	Total
03074 Granja de Rocamora	1930	1.141
03074 Granja de Rocamora	1920	1.248
03074 Granja de Rocamora	1910	1.137
03074 Granja de Rocamora	1900	893
03075 Castell de Guadalest, el	1991	165
03075 Castell de Guadalest, el	1981	158
03075 Castell de Guadalest, el	1970	218
03075 Castell de Guadalest, el	1960	361
03075 Castell de Guadalest, el	1950	333
03075 Castell de Guadalest, el	1940	388
03075 Castell de Guadalest, el	1930	461
03075 Castell de Guadalest, el	1920	428
03075 Castell de Guadalest, el	1910	482
03075 Castell de Guadalest, el	1900	483
03076 Guardamar del Segura	1991	7.513
03076 Guardamar del Segura	1981	5.708
03076 Guardamar del Segura	1970	4.715
03076 Guardamar del Segura	1960	4.586
03076 Guardamar del Segura	1950	4.704
03076 Guardamar del Segura	1940	4.703
03076 Guardamar del Segura	1930	4.016
03076 Guardamar del Segura	1920	3.067
03076 Guardamar del Segura	1910	2.898
03076 Guardamar del Segura	1900	2.862
03077 Fondó de les Neus, el/Hondón de las Nieves	1991	1.417
03077 Fondó de les Neus, el/Hondón de las Nieves	1981	1.557
03077 Fondó de les Neus, el/Hondón de las Nieves	1970	1.653
03077 Fondó de les Neus, el/Hondón de las Nieves	1960	1.786
03077 Fondó de les Neus, el/Hondón de las Nieves	1950	1.936
03077 Fondó de les Neus, el/Hondón de las Nieves	1940	1.824
03077 Fondó de les Neus, el/Hondón de las Nieves	1930	2.232
03077 Fondó de les Neus, el/Hondón de las Nieves	1920	3.454
03077 Fondó de les Neus, el/Hondón de las Nieves	1910	3.538
03077 Fondó de les Neus, el/Hondón de las Nieves	1900	3.690
03078 Hondón de los Frailes	1991	540
03078 Hondón de los Frailes	1981	528
03078 Hondón de los Frailes	1970	556
03078 Hondón de los Frailes	1960	555
03078 Hondón de los Frailes	1950	668
03078 Hondón de los Frailes	1940	704
03078 Hondón de los Frailes	1930	793
03078 Hondón de los Frailes	1920	""
03078 Hondón de los Frailes	1910	""
03078 Hondón de los Frailes	1900	""
03079 Ibi	1991	20.452
03079 Ibi	1981	19.846
03079 Ibi	1970	13.916
03079 Ibi	1960	6.129
03079 Ibi	1950	4.081
03079 Ibi	1940	3.929
03079 Ibi	1930	4.104
03079 Ibi	1920	3.533
03079 Ibi	1910	3.549
03079 Ibi	1900	3.653
03080 Jacarilla	1991	1.404
03080 Jacarilla	1981	1.334
03080 Jacarilla	1970	1.265
03080 Jacarilla	1960	1.145
03080 Jacarilla	1950	1.096
03080 Jacarilla	1940	1.046
03080 Jacarilla	1930	965
03080 Jacarilla	1920	897
03080 Jacarilla	1910	819
03080 Jacarilla	1900	631
03081 Xaló	1991	1.939
03081 Xaló	1981	1.709
03081 Xaló	1970	1.730
03081 Xaló	1960	1.876
03081 Xaló	1950	1.923
03081 Xaló	1940	2.142
03081 Xaló	1930	2.139
03081 Xaló	1920	2.360
03081 Xaló	1910	2.282
03081 Xaló	1900	2.702
03082 Jávea/Xàbia	1991	16.603
03082 Jávea/Xàbia	1981	10.964
03082 Jávea/Xàbia	1970	7.130
03082 Jávea/Xàbia	1960	6.029
03082 Jávea/Xàbia	1950	5.941
03082 Jávea/Xàbia	1940	6.136
03082 Jávea/Xàbia	1930	5.503
03082 Jávea/Xàbia	1920	6.072
03082 Jávea/Xàbia	1910	5.866
03082 Jávea/Xàbia	1900	6.606
03083 Jijona/Xixona	1991	7.867
03083 Jijona/Xixona	1981	8.816
03083 Jijona/Xixona	1970	8.117
03083 Jijona/Xixona	1960	6.383
03083 Jijona/Xixona	1950	5.729
03083 Jijona/Xixona	1940	6.942
03083 Jijona/Xixona	1930	6.059
03083 Jijona/Xixona	1920	6.862
03083 Jijona/Xixona	1910	7.323
03083 Jijona/Xixona	1900	6.901
03085 Llíber	1991	475
03085 Llíber	1981	419
03085 Llíber	1970	417
03085 Llíber	1960	467
03085 Llíber	1950	526
03085 Llíber	1940	733
03085 Llíber	1930	647
03085 Llíber	1920	754
03085 Llíber	1910	661
03085 Llíber	1900	838
03084 Lorcha/Orxa, l'	1991	810
03084 Lorcha/Orxa, l'	1981	1.002
03084 Lorcha/Orxa, l'	1970	1.046
03084 Lorcha/Orxa, l'	1960	1.235
03084 Lorcha/Orxa, l'	1950	1.356
