Municipios	Periodo	Total
12072 Llucena/Lucena del Cid	1991	1.641
12072 Llucena/Lucena del Cid	1981	1.879
12072 Llucena/Lucena del Cid	1970	2.218
12072 Llucena/Lucena del Cid	1960	2.877
12072 Llucena/Lucena del Cid	1950	3.457
12072 Llucena/Lucena del Cid	1940	3.585
12072 Llucena/Lucena del Cid	1930	3.880
12072 Llucena/Lucena del Cid	1920	4.251
12072 Llucena/Lucena del Cid	1910	4.446
12072 Llucena/Lucena del Cid	1900	4.040
12073 Ludiente	1991	253
12073 Ludiente	1981	305
12073 Ludiente	1970	421
12073 Ludiente	1960	659
12073 Ludiente	1950	847
12073 Ludiente	1940	1.025
12073 Ludiente	1930	996
12073 Ludiente	1920	1.134
12073 Ludiente	1910	1.220
12073 Ludiente	1900	1.111
12075 Mata de Morella, la	1991	211
12075 Mata de Morella, la	1981	232
12075 Mata de Morella, la	1970	290
12075 Mata de Morella, la	1960	456
12075 Mata de Morella, la	1950	496
12075 Mata de Morella, la	1940	527
12075 Mata de Morella, la	1930	554
12075 Mata de Morella, la	1920	611
12075 Mata de Morella, la	1910	659
12075 Mata de Morella, la	1900	640
12076 Matet	1991	121
12076 Matet	1981	158
12076 Matet	1970	274
12076 Matet	1960	367
12076 Matet	1950	441
12076 Matet	1940	441
12076 Matet	1930	574
12076 Matet	1920	588
12076 Matet	1910	567
12076 Matet	1900	605
12077 Moncofa	1991	3.487
12077 Moncofa	1981	3.433
12077 Moncofa	1970	3.183
12077 Moncofa	1960	3.252
12077 Moncofa	1950	3.194
12077 Moncofa	1940	2.712
12077 Moncofa	1930	2.711
12077 Moncofa	1920	2.236
12077 Moncofa	1910	2.224
12077 Moncofa	1900	1.820
12078 Montán	1991	365
12078 Montán	1981	506
12078 Montán	1970	524
12078 Montán	1960	648
12078 Montán	1950	795
12078 Montán	1940	873
12078 Montán	1930	887
12078 Montán	1920	1.004
12078 Montán	1910	1.122
12078 Montán	1900	1.180
12079 Montanejos	1991	422
12079 Montanejos	1981	568
12079 Montanejos	1970	702
12079 Montanejos	1960	1.559
12079 Montanejos	1950	755
12079 Montanejos	1940	737
12079 Montanejos	1930	865
12079 Montanejos	1920	808
12079 Montanejos	1910	887
12079 Montanejos	1900	885
12080 Morella	1991	2.717
12080 Morella	1981	3.337
12080 Morella	1970	3.652
12080 Morella	1960	4.132
12080 Morella	1950	4.786
12080 Morella	1940	5.037
12080 Morella	1930	5.832
12080 Morella	1920	5.498
12080 Morella	1910	6.722
12080 Morella	1900	7.335
12081 Navajas	1991	457
12081 Navajas	1981	542
12081 Navajas	1970	585
12081 Navajas	1960	802
12081 Navajas	1950	938
12081 Navajas	1940	880
12081 Navajas	1930	912
12081 Navajas	1920	854
12081 Navajas	1910	907
12081 Navajas	1900	895
12082 Nules	1991	11.510
12082 Nules	1981	10.957
12082 Nules	1970	9.633
12082 Nules	1960	8.460
12082 Nules	1950	7.916
12082 Nules	1940	6.374
12082 Nules	1930	6.703
12082 Nules	1920	5.874
12082 Nules	1910	5.826
12082 Nules	1900	5.367
12083 Olocau del Rey	1991	143
12083 Olocau del Rey	1981	188
12083 Olocau del Rey	1970	239
12083 Olocau del Rey	1960	311
12083 Olocau del Rey	1950	421
12083 Olocau del Rey	1940	420
12083 Olocau del Rey	1930	441
12083 Olocau del Rey	1920	473
12083 Olocau del Rey	1910	518
12083 Olocau del Rey	1900	546
12084 Onda	1991	17.852
12084 Onda	1981	17.363
12084 Onda	1970	15.131
12084 Onda	1960	12.414
12084 Onda	1950	8.696
12084 Onda	1940	7.304
12084 Onda	1930	7.472
12084 Onda	1920	6.631
12084 Onda	1910	7.027
12084 Onda	1900	6.595
12085 Oropesa del Mar/Orpesa	1991	2.451
12085 Oropesa del Mar/Orpesa	1981	1.724
12085 Oropesa del Mar/Orpesa	1970	1.580
12085 Oropesa del Mar/Orpesa	1960	1.156
12085 Oropesa del Mar/Orpesa	1950	1.194
12085 Oropesa del Mar/Orpesa	1940	1.053
12085 Oropesa del Mar/Orpesa	1930	1.029
12085 Oropesa del Mar/Orpesa	1920	914
12085 Oropesa del Mar/Orpesa	1910	950
12085 Oropesa del Mar/Orpesa	1900	856
12087 Palanques	1991	24
12087 Palanques	1981	32
12087 Palanques	1970	71
12087 Palanques	1960	163
12087 Palanques	1950	189
12087 Palanques	1940	216
12087 Palanques	1930	210
12087 Palanques	1920	248
12087 Palanques	1910	225
12087 Palanques	1900	249
12088 Pavías	1991	65
12088 Pavías	1981	86
12088 Pavías	1970	104
12088 Pavías	1960	152
12088 Pavías	1950	218
12088 Pavías	1940	243
12088 Pavías	1930	265
12088 Pavías	1920	264
12088 Pavías	1910	393
12088 Pavías	1900	508
12089 Peníscola/Peñíscola	1991	3.677
12089 Peníscola/Peñíscola	1981	3.077
12089 Peníscola/Peñíscola	1970	2.724
12089 Peníscola/Peñíscola	1960	2.530
12089 Peníscola/Peñíscola	1950	2.737
12089 Peníscola/Peñíscola	1940	2.925
12089 Peníscola/Peñíscola	1930	3.027
12089 Peníscola/Peñíscola	1920	2.975
12089 Peníscola/Peñíscola	1910	3.384
12089 Peníscola/Peñíscola	1900	3.142
12090 Pina de Montalgrao	1991	197
12090 Pina de Montalgrao	1981	238
12090 Pina de Montalgrao	1970	335
12090 Pina de Montalgrao	1960	494
12090 Pina de Montalgrao	1950	501
12090 Pina de Montalgrao	1940	516
12090 Pina de Montalgrao	1930	538
12090 Pina de Montalgrao	1920	565
12090 Pina de Montalgrao	1910	556
12090 Pina de Montalgrao	1900	551
12093 Pobla de Benifassà, la	1991	231
12093 Pobla de Benifassà, la	1981	361
12093 Pobla de Benifassà, la	1970	326
12093 Pobla de Benifassà, la	1960	470
12093 Pobla de Benifassà, la	1950	571
12093 Pobla de Benifassà, la	1940	645
12093 Pobla de Benifassà, la	1930	642
12093 Pobla de Benifassà, la	1920	670
12093 Pobla de Benifassà, la	1910	748
12093 Pobla de Benifassà, la	1900	695
12094 Pobla Tornesa, la	1991	509
