city,year,population
Betxí,2015,5763
Betxí,2014,5770
Betxí,2013,5815
Betxí,2012,5815
Betxí,2011,5890
Betxí,2010,5938
Betxí,2009,5902
Betxí,2008,5860
Betxí,2007,5684
Betxí,2006,5615
Betxí,2005,5551
Betxí,2004,5528
Betxí,2003,5467
Betxí,2002,5428
Betxí,2001,5381
Betxí,2000,5356
Betxí,1999,5339
Betxí,1998,5314
Betxí,1996,5284
Borriana/Burriana,2025,37915
Borriana/Burriana,2024,36927
Borriana/Burriana,2023,35750
Borriana/Burriana,2022,35019
Borriana/Burriana,2021,34903
Borriana/Burriana,2020,35052
Borriana/Burriana,2019,34683
Borriana/Burriana,2018,34544
Borriana/Burriana,2017,34464
Borriana/Burriana,2016,34643
Borriana/Burriana,2015,34708
Borriana/Burriana,2014,34783
Borriana/Burriana,2013,34744
Borriana/Burriana,2012,35598
Borriana/Burriana,2011,35433
Borriana/Burriana,2010,34896
Borriana/Burriana,2009,34565
Borriana/Burriana,2008,34235
Borriana/Burriana,2007,33255
Borriana/Burriana,2006,32349
Borriana/Burriana,2005,31281
Borriana/Burriana,2004,30059
Borriana/Burriana,2003,29250
Borriana/Burriana,2002,27794
Borriana/Burriana,2001,27055
Borriana/Burriana,2000,26499
Borriana/Burriana,1999,26323
Borriana/Burriana,1998,26097
Borriana/Burriana,1996,26211
Borriol,2025,6018
Borriol,2024,5945
Borriol,2023,5865
Borriol,2022,5749
Borriol,2021,5552
Borriol,2020,5397
Borriol,2019,5360
Borriol,2018,5322
Borriol,2017,5279
Borriol,2016,5187
Borriol,2015,5176
Borriol,2014,5209
Borriol,2013,5276
Borriol,2012,5231
Borriol,2011,5180
Borriol,2010,5075
Borriol,2009,5025
Borriol,2008,4874
Borriol,2007,4715
Borriol,2006,4478
Borriol,2005,4288
Borriol,2004,4195
Borriol,2003,4073
Borriol,2002,3917
Borriol,2001,3743
Borriol,2000,3576
Borriol,1999,3405
Borriol,1998,3284
Borriol,1996,3129
Cabanes,2025,3475
Cabanes,2024,3313
Cabanes,2023,3222
Cabanes,2022,3079
Cabanes,2021,3027
Cabanes,2020,2978
Cabanes,2019,2958
Cabanes,2018,2889
Cabanes,2017,2913
Cabanes,2016,2966
Cabanes,2015,2939
Cabanes,2014,2985
Cabanes,2013,3006
Cabanes,2012,2971
Cabanes,2011,3019
Cabanes,2010,3089
Cabanes,2009,3128
Cabanes,2008,3088
Cabanes,2007,2935
Cabanes,2006,2734
Cabanes,2005,2659
Cabanes,2004,2589
Cabanes,2003,2574
Cabanes,2002,2461
Cabanes,2001,2391
Cabanes,2000,2359
Cabanes,1999,2390
Cabanes,1998,2366
Cabanes,1996,2364
Càlig,2025,2042
Càlig,2024,2048
Càlig,2023,2013
Càlig,2022,1990
Càlig,2021,2002
Càlig,2020,1961
Càlig,2019,1950
Càlig,2018,1945
Càlig,2017,1959
Càlig,2016,2020
Càlig,2015,2049
Càlig,2014,2080
Càlig,2013,2130
Càlig,2012,2231
Càlig,2011,2236
Càlig,2010,2217
