Municipios	Periodo	Total
46059 Benifairó de la Valldigna	1900	1.331
46058 Benifairó de les Valls	1991	1.940
46058 Benifairó de les Valls	1981	1.940
46058 Benifairó de les Valls	1970	1.742
46058 Benifairó de les Valls	1960	1.514
46058 Benifairó de les Valls	1950	1.367
46058 Benifairó de les Valls	1940	1.384
46058 Benifairó de les Valls	1930	1.161
46058 Benifairó de les Valls	1920	978
46058 Benifairó de les Valls	1910	944
46058 Benifairó de les Valls	1900	""
46061 Beniflá	1991	153
46061 Beniflá	1981	164
46061 Beniflá	1970	185
46061 Beniflá	1960	194
46061 Beniflá	1950	165
46061 Beniflá	1940	188
46061 Beniflá	1930	211
46061 Beniflá	1920	159
46061 Beniflá	1910	194
46061 Beniflá	1900	158
46062 Benigànim	1991	5.326
46062 Benigànim	1981	5.077
46062 Benigànim	1970	4.476
46062 Benigànim	1960	3.994
46062 Benigànim	1950	3.560
46062 Benigànim	1940	3.662
46062 Benigànim	1930	3.583
46062 Benigànim	1920	3.398
46062 Benigànim	1910	3.613
46062 Benigànim	1900	3.492
46063 Benimodo	1991	1.722
46063 Benimodo	1981	1.728
46063 Benimodo	1970	1.707
46063 Benimodo	1960	1.536
46063 Benimodo	1950	1.631
46063 Benimodo	1940	1.412
46063 Benimodo	1930	1.221
46063 Benimodo	1920	1.166
46063 Benimodo	1910	1.221
46063 Benimodo	1900	1.157
46064 Benimuslem	1991	572
46064 Benimuslem	1981	562
46064 Benimuslem	1970	604
46064 Benimuslem	1960	662
46064 Benimuslem	1950	621
46064 Benimuslem	1940	579
46064 Benimuslem	1930	462
46064 Benimuslem	1920	422
46064 Benimuslem	1910	432
46064 Benimuslem	1900	398
46065 Beniparrell	1991	1.366
46065 Beniparrell	1981	1.321
46065 Beniparrell	1970	1.044
46065 Beniparrell	1960	1.016
46065 Beniparrell	1950	901
46065 Beniparrell	1940	819
46065 Beniparrell	1930	748
46065 Beniparrell	1920	683
46065 Beniparrell	1910	581
46065 Beniparrell	1900	503
46066 Benirredrà	1991	901
46066 Benirredrà	1981	848
46066 Benirredrà	1970	950
46066 Benirredrà	1960	938
46066 Benirredrà	1950	816
46066 Benirredrà	1940	834
46066 Benirredrà	1930	1.002
46066 Benirredrà	1920	651
46066 Benirredrà	1910	681
46066 Benirredrà	1900	563
46067 Benissanó	1991	1.643
46067 Benissanó	1981	1.611
46067 Benissanó	1970	1.347
46067 Benissanó	1960	1.204
46067 Benissanó	1950	1.283
46067 Benissanó	1940	1.267
46067 Benissanó	1930	1.112
46067 Benissanó	1920	965
46067 Benissanó	1910	984
46067 Benissanó	1900	997
46068 Benissoda	1991	297
46068 Benissoda	1981	276
46068 Benissoda	1970	278
46068 Benissoda	1960	289
46068 Benissoda	1950	276
46068 Benissoda	1940	273
46068 Benissoda	1930	285
46068 Benissoda	1920	311
46068 Benissoda	1910	344
46068 Benissoda	1900	321
46069 Benissuera	1991	205
46069 Benissuera	1981	221
46069 Benissuera	1970	238
46069 Benissuera	1960	242
46069 Benissuera	1950	253
46069 Benissuera	1940	244
46069 Benissuera	1930	242
46069 Benissuera	1920	293
46069 Benissuera	1910	200
46069 Benissuera	1900	299
46070 Bétera	1991	9.717
46070 Bétera	1981	8.827
46070 Bétera	1970	8.046
46070 Bétera	1960	7.114
46070 Bétera	1950	6.624
